Object,Correct_Location,Wrong_Locations
orange,coffee table,"['storage box', 'top drawer', 'cabinet 1', 'big bowl']"
stuffed animal,storage box,"['coffee table', 'hanging rack', 'floor', 'dresser']"
peach,coffee table,"['storage box', 'chair', 'cabinet', 'underbed storage']"
Barbie doll,storage box,"['coffee table', 'small storage chest', 'box', 'storage box 2']"
sweater,basket,"['drawer', 'plate', 'big storage chest', 'big bowl']"
khakis,basket,"['drawer', 'box', 'drying rack', 'shelf 2']"
Rubik's cube,drawer,"['basket', 'storage chest', 'big bowl', 'sofa']"
toy hammer,drawer,"['basket', 'desk', 'top shelf', 'small storage chest']"
napkin,trash can,"['coffee table', 'plastic box', 'dresser', 'right cabinet']"
paper wad,trash can,"['coffee table', 'storage box 2', 'hanging rack', 'backpack']"
textbook,coffee table,"['trash can', 'plate', 'left shelf', 'hanging rack']"
science fiction book,coffee table,"['trash can', 'closet', 'drawer', 'left shelf']"
stone sculpture,left shelf,"['right shelf', 'cabinet', 'box', 'middle shelf']"
rock specimen,left shelf,"['right shelf', 'bucket', 'leftmost shelf', 'left storage box']"
tissue paper,right shelf,"['left shelf', 'storage chest', 'fruit bowl', 'bin 1']"
scarf,right shelf,"['left shelf', 'right cupboard', 'small hamper', 'cabinet 2']"
wooden color block,cabinet,"['shelf', 'middle shelf', 'bowl', 'small storage container']"
toy car,cabinet,"['shelf', 'large hamper', 'top cabinet', 'table']"
teddy bear,shelf,"['cabinet', 'mat', 'storage box', 'cutting board']"
stuffed giraffe,shelf,"['cabinet', 'bottom drawer', 'bin 1', 'trash can']"
plastic box,left storage box,"['right storage box', 'drying rack', 'large hamper', 'bowl']"
plastic bag,left storage box,"['right storage box', 'drying rack', 'bucket', 'middle shelf']"
galvanized pail,right storage box,"['left storage box', 'hanging rack', 'right cupboard', 'top drawer']"
knife,right storage box,"['left storage box', 'mat', 'coffee table', 'middle drawer']"
stuffed sheep,sofa,"['coffee table', 'storage box', 'leftmost shelf', 'dining table']"
toy pickup truck,storage box,"['coffee table', 'sofa', 'tray', 'hamper']"
toy kazoo,storage box,"['coffee table', 'sofa', 'top rack', 'bottom shelf']"
The Economist magazine,coffee table,"['sofa', 'storage box', 'storage chest', 'top drawer']"
encyclopedia,coffee table,"['sofa', 'storage box', 'console table', 'small hamper']"
stuffed unicorn,sofa,"['coffee table', 'storage box', 'floor', 'right drawer']"
tennis shoes,rack,"['sofa', 'chair', 'middle shelf', 'hamper']"
blue jeans,chair,"['sofa', 'rack', 'top drawer', 'dresser']"
body pillow,sofa,"['chair', 'rack', 'left cupboard', 'bottom cabinet']"
body pillow 2,sofa,"['chair', 'rack', 'drying rack', 'big storage chest']"
hoodie,chair,"['sofa', 'rack', 'left cabinet', 'oven drawer']"
sandals,rack,"['sofa', 'chair', 'hamper', 'bottom drawer']"
popcorn,bowl,"['cardboard box', 'coffee table', 'drawer', 'stool']"
ziplock bag,cardboard box,"['coffee table', 'bowl', 'left cabinet', 'drawer']"
produce bag,cardboard box,"['coffee table', 'bowl', 'top shelf', 'shelf 1']"
