Object,Locations
alarm clock,"{1: ('nightstand', 1.0)}"
alcohol,"{1: ('kitchencabinet', 1.0)}"
beer,"{1: ('fridge', 1.0)}"
board game,"{1: ('cabinet', 1.0)}"
book,"{1: ('bookshelf', 1.0)}"
box,"{1: ('cabinet', 1.0)}"
broom,"{1: ('closet', 1.0)}"
candle,"{1: ('diningtable', 1.0)}"
cards,"{1: ('desk', 1.0)}"
cat,"{1: ('sofa', 1.0)}"
cellphone,"{1: ('nightstand', 1.0)}"
chef knife,"{1: ('kitchencabinet', 1.0)}"
cleaning bottle,"{1: ('cabinet', 1.0)}"
clothes pants,"{1: ('closet', 1.0)}"
clothes shirt,"{1: ('closet', 1.0)}"
coffee pot,"{1: ('kitchencounter', 1.0)}"
cookingpot,"{1: ('kitchencabinet', 1.0)}"
crackers,"{1: ('kitchencabinet', 1.0)}"
crayon,"{1: ('cabinet', 1.0)}"
cutting board,"{1: ('kitchencabinet', 1.0)}"
deck of cards,"{1: ('coffeetable', 1.0)}"
diary,"{1: ('bookshelf', 1.0)}"
face soap,"{1: ('bathroomcabinet', 1.0)}"
folder,"{1: ('desk', 1.0)}"
food apple,"{1: ('fridge', 1.0)}"
food banana,"{1: ('kitchencounter', 1.0)}"
food bread,"{1: ('fridge', 1.0)}"
food carrot,"{1: ('fridge', 1.0)}"
food cereal,"{1: ('kitchencabinet', 1.0)}"
food chicken,"{1: ('fridge', 1.0)}"
food donut,"{1: ('plate', 1.0)}"
food lemon,"{1: ('fridge', 1.0)}"
food orange,"{1: ('fridge', 1.0)}"
food potato,"{1: ('kitchencabinet', 1.0)}"
fryingpan,"{1: ('kitchencabinet', 1.0)}"
hairdryer,"{1: ('bathroomcabinet', 1.0)}"
hanger,"{1: ('closet', 1.0)}"
juice,"{1: ('fridge', 1.0)}"
kettle,"{1: ('kitchencounter', 1.0)}"
keyboard,"{1: ('desk', 1.0)}"
magazine,"{1: ('coffeetable', 1.0)}"
milk,"{1: ('fridge', 1.0)}"
mouse,"{1: ('desk', 1.0)}"
mug,"{1: ('kitchencabinet', 1.0)}"
napkin,"{1: ('kitchencabinet', 1.0)}"
notes,"{1: ('desk', 1.0)}"
novel,"{1: ('bookshelf', 1.0)}"
paper,"{1: ('desk', 1.0)}"
paper towel,"{1: ('kitchencounter', 1.0)}"
pen,"{1: ('desk', 1.0)}"
pillow,"{1: ('bed', 1.0)}"
plate,"{1: ('kitchencabinet', 1.0)}"
radio,"{1: ('cabinet', 1.0)}"
remote control,"{1: ('coffeetable', 1.0)}"
shoes,"{1: ('closet', 1.0)}"
slippers,"{1: ('closet', 1.0)}"
spectacles,"{1: ('nightstand', 1.0)}"
spoon,"{1: ('kitchencabinet', 1.0)}"
toilet paper,"{1: ('bathroomcabinet', 1.0)}"
tooth paste,"{1: ('bathroomcabinet', 1.0)}"
toothbrush,"{1: ('bathroomcounter', 1.0)}"
towel,"{1: ('towelrack', 1.0)}"
toy,"{1: ('sofa', 1.0)}"
water glass,"{1: ('kitchencabinet', 1.0)}"
wine,"{1: ('kitchencabinet', 1.0)}"
wine glass,"{1: ('kitchencabinet', 1.0)}"
wooden spoon,"{1: ('kitchencabinet', 1.0)}"
